rank,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
1,AU,ZNC.AX,2020,255,2020-01-02,2020-12-31,0.0260000005364418,0.0989999994635582,0.0908372553759345,0.1599999964237213,255,1.0,0,5,5,10,23,28,0,2,0,2,3,4,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2,AU,14D.AX,2020,255,2020-01-02,2020-12-31,0.0666999965906143,0.1498329937458038,0.1465141296678898,0.2610000073909759,255,1.0,0,7,0,7,38,77,0,1,0,1,4,15,0,1,0,1,3,6,0,0,0,0,0,2,0,0,0,0,0,1
3,AU,1AD.AX,2020,255,2020-01-02,2020-12-31,0.0334849990904331,0.0831829980015754,0.0789177173054685,0.1289339959621429,255,1.0,0,9,4,13,35,61,0,0,1,1,2,11,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
4,AU,ZMM.AX,2020,255,2020-01-02,2020-12-31,0.1845220029354095,0.3690449893474579,0.3936048188630272,0.9226139783859252,255,1.0,0,50,53,103,95,161,0,42,46,88,74,149,0,42,38,80,50,135,0,11,13,24,23,117,0,9,0,9,3,81
5,AU,ZMI.AX,2020,255,2020-01-02,2020-12-31,0.025000000372529,0.0450000017881393,0.0462274510413407,0.0750000029802322,255,1.0,0,7,12,19,26,18,0,0,3,3,4,5,0,0,0,0,3,2,0,0,0,0,1,2,0,0,0,0,0,0
6,AU,3DA.AX,2020,255,2020-01-02,2020-12-31,0.0640000030398368,0.25,0.3280196088786218,0.8100000023841858,255,1.0,0,7,1,8,41,103,0,2,0,2,6,15,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
7,AU,3DP.AX,2020,255,2020-01-02,2020-12-31,0.0179999992251396,0.0540000014007091,0.20533921444679,0.6100000143051147,255,1.0,0,7,2,9,32,80,0,2,0,2,16,22,0,1,0,1,6,7,0,1,0,1,1,2,0,0,0,0,0,0
8,AU,WZR.AX,2020,255,2020-01-02,2020-12-31,0.0659999996423721,0.2000000029802322,0.1957019599045024,0.3199999928474426,255,1.0,0,6,5,11,31,72,0,1,0,1,6,17,0,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,0,0
9,AU,WYX.AX,2020,255,2020-01-02,2020-12-31,0.1500000059604644,0.1500000059604644,0.1500000059604644,0.1500000059604644,255,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,AU,WWI.AX,2020,255,2020-01-02,2020-12-31,0.0068569998256862,0.019590999931097,0.0274050509100596,0.0979589968919754,255,1.0,39,18,4,22,55,100,0,3,0,3,9,29,0,0,0,0,4,13,0,0,0,0,0,1,0,0,0,0,0,0
1,AU,ZNC.AX,2021,254,2021-01-04,2021-12-31,0.1099999994039535,0.2249999940395355,0.2077952741579277,0.3199999928474426,254,1.0,0,4,1,5,16,28,0,1,0,1,3,7,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2,AU,14D.AX,2021,254,2021-01-04,2021-12-31,0.087966002523899,0.1305000036954879,0.1513477168155936,0.3286660015583038,254,1.0,0,6,1,7,18,40,0,0,0,0,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,AU,1AD.AX,2021,254,2021-01-04,2021-12-31,0.0598910003900527,0.1081380024552345,0.1012466378568663,0.1622070074081421,254,1.0,0,2,1,3,13,31,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4,AU,ZMM.AX,2021,254,2021-01-04,2021-12-31,0.1771409958600998,0.2583320140838623,0.2573143943088261,0.413331001996994,254,1.0,0,8,2,10,31,57,0,1,0,1,3,7,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0
5,AU,ZMI.AX,2021,254,2021-01-04,2021-12-31,0.0430000014603138,0.0560000017285347,0.0552007872757948,0.06700000166893,254,1.0,0,2,7,9,10,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AU,XPN.AX,2021,3,2021-12-29,2021-12-31,0.2000000029802322,0.2150000035762787,0.2100000033775965,0.2150000035762787,3,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AU,XGL.AX,2021,254,2021-01-04,2021-12-31,0.0579999983310699,0.1449999958276748,0.1442933080233926,0.2949999868869781,254,1.0,0,6,8,14,31,60,0,0,1,1,8,23,0,0,1,1,5,7,0,0,0,0,3,4,0,0,0,0,1,1
8,AU,XF1.AX,2021,254,2021-01-04,2021-12-31,0.2349999994039535,0.4000000059604645,0.4238976369223257,0.7350000143051147,254,1.0,0,1,0,1,9,14,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,AU,X2M.AX,2021,71,2021-09-22,2021-12-31,0.124609999358654,0.1646630018949508,0.1668885049055999,0.2403199970722198,71,1.0,0,2,0,2,8,14,0,1,0,1,1,4,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10,AU,WZR.AX,2021,254,2021-01-04,2021-12-31,0.1800000071525573,0.25,0.2442125970805723,0.3350000083446502,254,1.0,0,0,1,1,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AU,ZNO.AX,2022,251,2022-01-04,2022-12-30,0.0939240008592605,0.1532450020313263,0.1843605898172256,0.4547919929027557,251,1.0,0,3,0,3,16,47,0,0,0,0,3,11,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2,AU,14D.AX,2022,251,2022-01-04,2022-12-30,0.0628330036997795,0.0841000005602836,0.0855149563208993,0.1159999966621398,251,1.0,0,1,1,2,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,AU,1AD.AX,2022,251,2022-01-04,2022-12-30,0.0344390012323856,0.0436789989471435,0.0494000362417849,0.0713990032672882,251,1.0,0,3,2,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,AU,1AE.AX,2022,159,2022-05-18,2022-12-30,0.1400000005960464,0.2175000011920929,0.2210220105055743,0.375,159,1.0,0,2,1,3,20,29,0,0,0,0,2,6,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
5,AU,1TT.AX,2022,160,2022-01-04,2022-12-30,0.1400000005960464,0.4000000059604645,0.4312500071711838,0.800000011920929,160,1.0,0,17,14,31,35,34,0,13,13,26,32,30,0,13,11,24,28,30,0,8,7,15,22,30,0,8,0,8,7,30
6,AU,ZNC.AX,2022,251,2022-01-04,2022-12-30,0.2300000041723251,0.3100000023841858,0.3222609556528676,0.449999988079071,251,1.0,0,5,0,5,11,33,0,1,0,1,2,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,AU,ZMM.AX,2022,251,2022-01-04,2022-12-30,0.0570789985358715,0.1033319979906082,0.1033050704495127,0.1771409958600998,251,1.0,0,13,13,26,36,43,0,0,0,0,4,10,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0
8,AU,3DA.AX,2022,251,2022-01-04,2022-12-30,0.0640000030398368,0.1850000023841858,0.1838286854178306,0.3400000035762787,251,1.0,0,2,1,3,22,48,0,0,0,0,6,11,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0
9,AU,3DP.AX,2022,251,2022-01-04,2022-12-30,0.1749999970197677,0.2300000041723251,0.2444721104733022,0.4050000011920929,251,1.0,0,3,1,4,13,29,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,AU,XRF.AX,2022,251,2022-01-04,2022-12-30,0.4675723910331726,0.5922583937644958,0.5995523921284542,0.7989138960838318,251,1.0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AU,ZNO.AX,2023,252,2023-01-03,2023-12-29,0.0340000018477439,0.0489999987185001,0.0552498334575266,0.0988669991493225,252,1.0,0,4,2,6,19,29,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AU,14D.AX,2023,252,2023-01-03,2023-12-29,0.025000000372529,0.0555500015616416,0.054049432684209,0.0802330002188682,252,1.0,0,5,3,8,24,28,0,0,0,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,AU,1AD.AX,2023,252,2023-01-03,2023-12-29,0.0142790004611015,0.0201590005308389,0.0226873333661979,0.0386390015482902,252,1.0,0,6,3,9,18,24,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4,AU,1AE.AX,2023,252,2023-01-03,2023-12-29,0.0549999997019767,0.0939999967813491,0.0976964285567639,0.1850000023841858,252,1.0,0,2,2,4,25,38,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,AU,1AI.AX,2023,83,2023-08-31,2023-12-29,0.0099999997764825,0.0130000002682209,0.0130180724593529,0.0160000007599592,83,1.0,1,0,0,0,5,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,AU,1CG.AX,2023,235,2023-01-27,2023-12-29,0.0069369999691843,0.0128830000758171,0.0133774382438747,0.0237850006669759,235,1.0,50,8,4,12,42,77,0,2,0,2,9,21,0,1,0,1,3,5,0,1,0,1,1,1,0,0,0,0,0,0
7,AU,1TT.AX,2023,224,2023-01-03,2023-12-29,0.1000000014901161,0.4199999868869781,0.4320089299830475,0.8399999737739563,224,1.0,0,7,7,14,52,77,0,0,0,0,4,12,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
8,AU,ZNC.AX,2023,252,2023-01-03,2023-12-29,0.0659999996423721,0.1400000005960464,0.1462857142859508,0.2649999856948852,252,1.0,0,1,3,4,21,33,0,0,0,0,3,6,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0
9,AU,ZMM.AX,2023,252,2023-01-03,2023-12-29,0.025000000372529,0.0399999991059303,0.0405076427887829,0.0639680027961731,252,1.0,0,6,5,11,22,14,0,1,1,2,4,5,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
10,AU,3DA.AX,2023,252,2023-01-03,2023-12-29,0.096000000834465,0.1599999964237213,0.1662976186545122,0.3000000119209289,252,1.0,0,1,2,3,32,59,0,0,0,0,5,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,AU,ZNO.AX,2024,254,2024-01-02,2024-12-31,0.0230000000447034,0.0280000008642673,0.0364319177667103,0.125,254,1.0,0,6,6,12,28,40,0,1,1,2,6,11,0,0,0,0,5,5,0,0,0,0,0,1,0,0,0,0,0,0
2,AU,XST.AX,2024,254,2024-01-02,2024-12-31,0.0085000004619359,0.0109999999403953,0.0128917321892762,0.025000000372529,254,1.0,124,5,14,19,35,28,0,0,0,0,3,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,AU,XRG.AX,2024,254,2024-01-02,2024-12-31,0.0260000005364418,0.0340000018477439,0.035814960641185,0.0549999997019767,254,1.0,0,10,1,11,21,33,0,1,0,1,1,3,0,1,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0
4,AU,XPN.AX,2024,254,2024-01-02,2024-12-31,0.0070000002160668,0.0140000004321336,0.0154271654080687,0.0350000001490116,254,1.0,49,15,16,31,47,41,0,2,0,2,14,19,0,1,0,1,7,7,0,0,0,0,1,3,0,0,0,0,0,0
5,AU,XGL.AX,2024,254,2024-01-02,2024-12-31,0.0179999992251396,0.0280000008642673,0.0331141734349093,0.0540000014007091,254,1.0,0,8,15,23,28,11,0,2,2,4,7,4,0,1,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0
6,AU,XF1.AX,2024,254,2024-01-02,2024-12-31,0.1000000014901161,0.1650000065565109,0.1601377959678491,0.2150000035762787,254,1.0,0,5,2,7,12,12,0,2,0,2,1,3,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0
7,AU,X2M.AX,2024,254,2024-01-02,2024-12-31,0.0209999997168779,0.0390000008046627,0.039267716797318,0.0520000010728836,254,1.0,0,4,7,11,18,10,0,0,2,2,3,3,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
8,AU,WZR.AX,2024,254,2024-01-02,2024-12-31,0.025000000372529,0.032999999821186,0.0337933072541642,0.0469999983906745,254,1.0,0,2,0,2,13,34,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,AU,WYX.AX,2024,254,2024-01-02,2024-12-31,0.0199999995529651,0.032999999821186,0.0435767715840827,0.1049999967217445,254,1.0,0,2,3,5,33,30,0,0,1,1,3,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
10,AU,WWI.AX,2024,254,2024-01-02,2024-12-31,0.0099999997764825,0.0140000004321336,0.0142086616049952,0.0189999993890523,254,1.0,4,1,1,2,22,41,0,0,0,0,2,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1,AU,ZNO.AX,2025,253,2025-01-02,2025-12-31,0.0240000002086162,0.032999999821186,0.0401561269205313,0.1550000011920929,253,1.0,0,5,1,6,26,49,0,1,0,1,9,13,0,1,0,1,5,6,0,0,0,0,2,3,0,0,0,0,0,0
2,AU,10X.AX,2025,13,2025-12-11,2025-12-31,0.1700000017881393,0.1749999970197677,0.1776923090219497,0.1850000023841858,13,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,AU,14D.AX,2025,253,2025-01-02,2025-12-31,0.0160000007599592,0.0219999998807907,0.0246086955777269,0.0820000022649765,253,1.0,0,7,3,10,38,106,0,1,0,1,6,20,0,0,0,0,4,9,0,0,0,0,1,3,0,0,0,0,1,1
4,AU,1AD.AX,2025,253,2025-01-02,2025-12-31,0.0020000000949949,0.0035000001080334,0.0053031423530382,0.0151190003380179,253,1.0,210,27,36,63,74,87,172,16,4,20,25,57,120,6,3,9,8,18,0,0,0,0,0,0,0,0,0,0,0,0
5,AU,1AE.AX,2025,253,2025-01-02,2025-12-31,0.0350000001490116,0.0640000030398368,0.0672924901568606,0.1199999973177909,253,1.0,0,6,2,8,28,40,0,0,0,0,3,6,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0
6,AU,1AI.AX,2025,222,2025-01-02,2025-12-31,0.0049999998882412,0.0070000002160668,0.0077815315421871,0.0170000009238719,222,1.0,190,17,18,35,68,91,46,4,0,4,17,33,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
7,AU,1CG.AX,2025,253,2025-01-02,2025-12-31,0.006000000052154,0.0099999997764825,0.0096126481588826,0.0135000003501772,253,1.0,178,33,23,56,80,75,0,0,0,0,6,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,AU,1MC.AX,2025,248,2025-01-02,2025-12-31,0.0140000004321336,0.0189999993890523,0.0233709676333912,0.0680000036954879,248,1.0,0,5,7,12,20,47,0,0,0,0,3,6,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
9,AU,1TT.AX,2025,189,2025-01-02,2025-12-30,0.0010000000474974,0.0199999995529651,0.0212883595013793,0.0799999982118606,189,1.0,87,23,38,61,70,52,70,15,33,48,53,44,54,13,23,36,34,38,9,2,9,11,11,16,0,2,0,2,3,15
10,AU,29M.AX,2025,253,2025-01-02,2025-12-31,0.1049999967217445,0.2750000059604645,0.2950592880015787,0.6000000238418579,253,1.0,0,2,1,3,17,40,0,0,0,0,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,CA,YES.V,2020,252,2020-01-02,2020-12-31,0.0700000002980232,0.1099999994039535,0.1305158730182382,0.3600000143051147,252,1.0,46,17,15,32,40,19,0,8,4,12,19,9,0,3,1,4,7,5,0,0,0,0,0,1,0,0,0,0,0,1
2,CA,YEG.V,2020,27,2020-11-23,2020-12-31,0.1599999964237213,0.1700000017881393,0.1785185182536089,0.25,27,1.0,0,3,4,7,7,5,0,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CA,YARR.V,2020,252,2020-01-02,2020-12-31,0.0525389984250068,0.1050790026783943,0.112584457156204,0.2451840043067932,252,1.0,125,13,8,21,40,85,0,0,0,0,4,11,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
4,CA,XXIX.V,2020,252,2020-01-02,2020-12-31,0.0299999993294477,0.0700000002980232,0.0876785712981862,0.3199999928474426,252,1.0,190,9,9,18,34,32,34,4,2,6,13,13,3,4,0,4,3,6,0,2,0,2,2,0,0,0,0,0,0,0
5,CA,XTM.V,2020,252,2020-01-02,2020-12-31,0.0535897389054298,0.080384612083435,0.0802879488125206,0.1120512783527374,252,1.0,243,3,6,9,29,30,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CA,XPLR.V,2020,54,2020-10-15,2020-12-31,0.125,0.2187499999999999,0.2122685186288974,0.25,54,1.0,0,4,2,6,10,8,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CA,XLY.TO,2020,252,2020-01-02,2020-12-31,0.125,0.3149999976158142,0.3402698414311522,0.7400000095367432,252,1.0,0,3,4,7,28,65,0,0,1,1,6,12,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0
8,CA,XL.V,2020,252,2020-01-02,2020-12-31,0.1299999952316284,0.1850000023841857,0.1838492063421105,0.4799999892711639,252,1.0,0,10,6,16,17,6,0,8,5,13,14,6,0,5,2,7,9,4,0,2,0,2,4,1,0,0,0,0,0,0
9,CA,XGC.V,2020,252,2020-01-02,2020-12-31,0.0099999997764825,0.0399999991059303,0.0426190471247074,0.1000000014901161,252,1.0,251,22,22,44,50,55,130,5,10,15,15,20,123,3,7,10,9,17,82,1,2,3,4,7,1,1,0,1,1,1
10,CA,AEP.V,2020,252,2020-01-02,2020-12-31,0.2000000029802322,0.2800000011920929,0.3061507933196567,0.4699999988079071,252,1.0,0,3,7,10,19,24,0,1,1,2,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,CA,ZONE.V,2021,251,2021-01-04,2021-12-31,0.0399999991059303,0.0599999986588954,0.0650000001834445,0.1299999952316284,251,1.0,242,11,3,14,30,93,22,1,0,1,5,16,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0
2,CA,AAB.TO,2021,251,2021-01-04,2021-12-31,0.1199999973177909,0.2000000029802322,0.216772908619438,0.4300000071525574,251,1.0,0,7,4,11,35,90,0,0,0,0,5,19,0,0,0,0,4,7,0,0,0,0,1,2,0,0,0,0,0,0
3,CA,ZON.V,2021,251,2021-01-04,2021-12-31,0.1800000071525573,0.2000000029802322,0.2064143421046762,0.270000010728836,251,1.0,0,7,1,8,14,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CA,AAN.V,2021,251,2021-01-04,2021-12-31,0.1599999964237213,0.2199999988079071,0.2216932270156434,0.3000000119209289,251,1.0,0,9,5,14,16,7,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CA,ZNX.V,2021,251,2021-01-04,2021-12-31,0.1099999994039535,0.1700000017881393,0.1696015951405483,0.2300000041723251,251,1.0,0,5,3,8,13,30,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,CA,YEG.V,2021,251,2021-01-04,2021-12-31,0.1700000017881393,0.2949999868869781,0.2772310757304568,0.4300000071525574,251,1.0,0,9,8,17,24,33,0,1,0,1,5,7,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0
7,CA,YARR.V,2021,251,2021-01-04,2021-12-31,0.166374996304512,0.3239929974079132,0.3412270668255855,0.6654989719390869,251,1.0,0,0,1,1,14,56,0,0,0,0,3,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,CA,XXIX.V,2021,251,2021-01-04,2021-12-31,0.1500000059604644,0.2199999988079071,0.2405776893831344,0.4399999976158142,251,1.0,0,1,1,2,27,67,0,0,0,0,2,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
9,CA,XTRA.TO,2021,251,2021-01-04,2021-12-31,0.3700000047683716,0.4900000095367431,0.4926294799582417,0.7099999785423279,251,1.0,0,0,0,0,7,29,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,CA,XTM.V,2021,251,2021-01-04,2021-12-31,0.0779487118124961,0.1599999964237213,0.1562503833338558,0.25,251,1.0,35,6,1,7,33,40,0,1,0,1,4,11,0,1,0,1,1,4,0,1,0,1,1,0,0,1,0,1,1,0
1,CA,YOO.V,2022,250,2022-01-04,2022-12-30,0.0399999991059303,0.0799999982118606,0.0909199991822242,0.1700000017881393,250,1.0,150,13,13,26,34,16,32,6,2,8,16,9,0,1,0,1,4,4,0,0,0,0,0,1,0,0,0,0,0,0
2,CA,YRB.TO,2022,250,2022-01-04,2022-12-30,0.0299999993294477,0.050000000745058,0.0501999995708464,0.0799999982118606,250,1.0,250,22,24,46,48,52,82,8,9,17,19,18,6,3,0,3,6,10,0,0,0,0,0,1,0,0,0,0,0,0
3,CA,YTY.V,2022,250,2022-01-04,2022-12-30,0.0149999996647238,0.0299999993294477,0.0323399998769163,0.0450000017881393,250,1.0,250,10,20,30,32,16,250,2,2,4,4,4,134,1,0,1,1,1,19,0,0,0,1,0,0,0,0,0,0,0
4,CA,ZBNI.V,2022,250,2022-01-04,2022-12-30,0.0700000002980232,0.1650000065565109,0.1886200004220008,0.4000000059604645,250,1.0,38,17,21,38,42,31,0,10,4,14,14,8,0,5,0,5,7,5,0,0,0,0,2,2,0,0,0,0,0,0
5,CA,ZDC.V,2022,250,2022-01-04,2022-12-30,0.3100000023841858,0.4199999868869781,0.4404399977922439,0.6000000238418579,250,1.0,0,2,2,4,13,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CA,ZFR.V,2022,250,2022-01-04,2022-12-30,0.0750000029802322,0.135000005364418,0.1294000014662742,0.1749999970197677,250,1.0,38,9,2,11,16,25,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CA,ZLTO.V,2022,170,2022-04-28,2022-12-30,0.1199999973177909,0.2399999946355819,0.2782941158641787,0.5699999928474426,170,1.0,0,17,15,32,27,26,0,11,7,18,17,17,0,6,1,7,9,12,0,3,0,3,2,6,0,1,0,1,1,1
8,CA,ZMA.V,2022,250,2022-01-04,2022-12-30,0.1800000071525573,0.2000000029802322,0.2008000019192695,0.209999993443489,250,1.0,0,2,6,8,2,23,0,1,0,1,0,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,CA,ZNG.V,2022,250,2022-01-04,2022-12-30,0.0649999976158142,0.0900000035762786,0.0988720001876354,0.1749999970197677,250,1.0,156,5,2,7,24,29,0,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,CA,ZNX.V,2022,250,2022-01-04,2022-12-30,0.0700000002980232,0.1099999994039535,0.1091199986338614,0.1599999964237213,250,1.0,66,3,7,10,12,10,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,CA,ZONE.V,2023,250,2023-01-03,2023-12-29,0.0099999997764825,0.0199999995529651,0.0204799997508525,0.0299999993294477,250,1.0,250,15,31,46,32,29,250,9,28,37,22,23,250,7,0,7,10,23,177,2,0,2,2,3,2,0,0,0,0,0
2,CA,AAB.TO,2023,250,2023-01-03,2023-12-29,0.0199999995529651,0.0399999991059303,0.0375599994659423,0.0599999986588954,250,1.0,250,16,16,32,30,27,201,12,12,24,22,21,113,2,4,6,3,7,5,1,0,1,1,5,0,0,0,0,0,0
3,CA,AAG.V,2023,250,2023-01-03,2023-12-29,0.1500000059604644,0.2300000041723251,0.2330199992656707,0.3350000083446502,250,1.0,0,0,0,0,20,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CA,AAN.V,2023,250,2023-01-03,2023-12-29,0.1500000059604644,0.2000000029802322,0.1970200001597404,0.2450000047683715,250,1.0,0,13,8,21,32,19,0,2,0,2,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CA,ZON.V,2023,250,2023-01-03,2023-12-29,0.0299999993294477,0.0850000008940696,0.0850000000968575,0.1700000017881393,250,1.0,158,29,15,44,49,54,16,6,1,7,14,16,1,2,0,2,4,6,0,0,0,0,0,1,0,0,0,0,0,0
6,CA,YFI.V,2023,250,2023-01-03,2023-12-29,0.0399999991059303,0.050000000745058,0.050920000091195,0.0700000002980232,250,1.0,250,12,15,27,36,42,40,2,3,5,6,12,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
7,CA,YES.V,2023,250,2023-01-03,2023-12-29,0.2899999916553497,0.5649999976158142,0.5762299983501434,0.8100000023841858,250,1.0,0,1,0,1,10,19,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CA,YEG.V,2023,250,2023-01-03,2023-12-29,0.1299999952316284,0.1599999964237213,0.1581400017142296,0.1899999976158142,250,1.0,0,14,6,20,23,9,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,CA,YARR.V,2023,250,2023-01-03,2023-12-29,0.0525389984250068,0.1007005013525485,0.1239580316245555,0.2626970112323761,250,1.0,125,14,10,24,36,54,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
10,CA,XXIX.V,2023,250,2023-01-03,2023-12-29,0.1099999994039535,0.1500000059604644,0.146680000424385,0.1850000023841858,250,1.0,0,2,0,2,4,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CA,ZONE.V,2024,252,2024-01-02,2024-12-31,0.0099999997764825,0.0149999996647238,0.013789682231459,0.0199999995529651,252,1.0,252,4,22,26,20,27,252,4,22,26,20,27,252,4,14,18,13,27,252,3,0,3,3,16,78,0,0,0,1,1
2,CA,AAB.TO,2024,252,2024-01-02,2024-12-31,0.0199999995529651,0.0399999991059303,0.03809523768723,0.0799999982118606,252,1.0,252,26,29,55,56,53,171,18,19,37,38,30,118,12,11,23,26,18,54,12,0,12,13,13,0,0,0,0,0,0
