rank,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
4,UK,92IP.L,2023,251,2023-01-03,2023-12-29,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,251,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,UK,GFIN.L,2023,251,2023-01-03,2023-12-29,0.0480000004172325,0.1000000014901161,0.1348924307946664,0.5299999713897705,251,1.0,0,1,2,3,20,122,0,0,1,1,9,35,0,0,0,0,2,11,0,0,0,0,1,4,0,0,0,0,0,0
6,UK,GCG.L,2023,251,2023-01-03,2023-12-29,0.0225000008940696,0.0305000003427267,0.0658326700285255,0.1700000017881393,251,1.0,49,2,1,3,15,23,0,0,1,1,3,15,0,0,1,1,1,8,0,0,0,0,1,6,0,0,0,0,0,1
7,UK,ROCK.L,2023,251,2023-01-03,2023-12-29,0.1679999977350235,0.2599999904632568,0.2718007987832643,0.3799999952316284,251,1.0,0,1,2,3,11,40,0,0,1,1,3,16,0,0,1,1,1,5,0,0,0,0,0,1,0,0,0,0,0,1
8,UK,BPCP.L,2023,247,2023-01-03,2023-12-29,0.5041046142578125,0.5579784512519836,0.5553358913915842,0.5979989767074585,247,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,UK,ZAIM.L,2023,251,2023-01-03,2023-12-29,0.0065000001341104,0.0649999976158142,0.0739382483376805,0.1500000059604644,251,1.0,29,1,2,3,5,5,29,1,2,3,4,4,29,1,2,3,3,1,0,1,2,3,3,0,0,1,0,1,1,0
10,UK,BPCR.L,2023,251,2023-01-03,2023-12-29,0.5981469750404358,0.6517466306686401,0.6454109618388324,0.6988635659217834,251,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,UK,87FZ.L,2024,254,2024-01-02,2024-12-31,0.0189663376659154,0.5784024000167847,0.3334117417964409,0.6036501526832581,254,1.0,112,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0
2,UK,92IP.L,2024,254,2024-01-02,2024-12-31,0.949999988079071,0.949999988079071,0.949999988079071,0.949999988079071,254,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,UK,WRN.L,2024,251,2024-01-02,2024-12-31,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,251,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UK,78GL.L,2024,254,2024-01-02,2024-12-31,0.8863229751586914,0.9164993166923524,0.9221974254593136,0.9477030634880066,254,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,UK,80M.L,2024,254,2024-01-02,2024-12-31,0.2649999856948852,0.3199999928474426,0.3494330702100213,0.6499999761581421,254,1.0,0,1,0,1,11,74,0,0,0,0,3,11,0,0,0,0,1,4,0,0,0,0,1,2,0,0,0,0,1,1
6,UK,UFO.L,2024,254,2024-01-02,2024-12-31,0.0829999968409538,0.135000005364418,0.1417283465953792,0.2349999994039535,254,1.0,0,0,0,0,21,135,0,0,0,0,2,24,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,0
7,UK,USF.L,2024,254,2024-01-02,2024-12-31,0.3905256688594818,0.423638641834259,0.4343329577699421,0.4894587695598602,254,1.0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,UK,UOG.L,2024,254,2024-01-02,2024-12-31,0.0900000035762786,0.1949999928474426,0.22261417217142,0.625,254,1.0,0,1,5,6,30,168,0,0,2,2,7,45,0,0,0,0,5,15,0,0,0,0,2,4,0,0,0,0,0,1
9,UK,WGP.L,2024,251,2024-01-02,2024-12-31,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.0799999982118606,251,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,UK,VOX.L,2024,254,2024-01-02,2024-12-31,0.0020000000949949,0.0020000000949949,0.0875629917791802,0.3499999940395355,254,1.0,174,6,8,14,15,0,174,6,8,14,14,0,174,6,7,13,13,0,174,6,7,13,13,0,152,6,0,6,6,0
1,UK,ADME.L,2025,253,2025-01-02,2025-12-31,0.0005499999970197,0.0005499999970197,0.0754051382392055,0.3499999940395355,253,1.0,130,1,2,3,22,61,130,1,1,2,7,35,130,0,1,1,4,26,130,0,1,1,2,9,130,0,0,0,0,2
2,UK,MIK.L,2025,253,2025-01-02,2025-12-31,0.4101317822933197,0.4170000255107879,0.4202378140136658,0.4250000119209289,253,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,UK,46HA.L,2025,253,2025-01-02,2025-12-31,0.5854939818382263,0.6025000214576721,0.5995494209730579,0.6200000047683716,253,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UK,46IE.L,2025,253,2025-01-02,2025-12-31,0.7631391882896423,0.7910588979721069,0.7955874706445475,0.8200000524520874,253,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,UK,47HA.L,2025,253,2025-01-02,2025-12-31,0.7757576107978821,0.800000011920929,0.8002131741508665,0.824999988079071,253,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,UK,WRN.L,2025,250,2025-01-02,2025-12-31,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,250,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,UK,WGP.L,2025,250,2025-01-02,2025-12-31,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.0799999982118606,250,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,UK,MII.L,2025,253,2025-01-02,2025-12-31,0.0035000001080334,0.0057500000111758,0.1301274690344531,0.574999988079071,253,1.0,179,6,7,13,13,2,179,6,7,13,13,1,179,6,6,12,12,0,80,6,6,12,12,0,0,6,0,6,6,0
9,UK,GUN.L,2025,253,2025-01-02,2025-12-31,0.0979999974370002,0.1280000060796737,0.1304031627569273,0.1850000023841858,253,1.0,0,0,0,0,19,80,0,0,0,0,2,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
10,UK,WCAT.L,2025,253,2025-01-02,2025-12-31,0.0005499999970197,0.0850000008940696,0.0838845843530219,0.1599999964237213,253,1.0,16,7,1,8,20,70,16,1,1,2,4,17,16,1,1,2,3,7,16,1,1,2,3,3,16,1,0,1,1,1
