rank,market,year,symbol,n_days,penny_days,penny_day_ratio,min_close,median_close,mean_close,max_close,one_tick_ge_10_days,one_tick_ge_20_days,one_tick_ge_30_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days
2,UK,2025,MIK.L,253,253,1.0,0.4101317822933197,0.4170000255107879,0.4202378140136658,0.4250000119209289,0,0,0,0,0,0
3,UK,2025,46HA.L,253,253,1.0,0.5854939818382263,0.6025000214576721,0.5995494209730579,0.6200000047683716,0,0,0,0,0,0
4,UK,2025,46IE.L,253,253,1.0,0.7631391882896423,0.7910588979721069,0.7955874706445475,0.8200000524520874,0,0,0,0,0,0
5,UK,2025,47HA.L,253,253,1.0,0.7757576107978821,0.800000011920929,0.8002131741508665,0.824999988079071,0,0,0,0,0,0
6,UK,2025,WRN.L,250,250,1.0,0.8700000047683716,0.8700000047683716,0.8700000047683716,0.8700000047683716,0,0,0,0,0,0
7,UK,2025,WGP.L,250,250,1.0,0.0799999982118606,0.0799999982118606,0.0799999982118606,0.0799999982118606,0,0,0,0,0,0
8,UK,2025,MII.L,253,253,1.0,0.0035000001080334,0.0057500000111758,0.1301274690344531,0.574999988079071,179,179,179,13,13,2
9,UK,2025,GUN.L,253,253,1.0,0.0979999974370002,0.1280000060796737,0.1304031627569273,0.1850000023841858,0,0,0,0,19,80
10,UK,2025,WCAT.L,253,253,1.0,0.0005499999970197,0.0850000008940696,0.0838845843530219,0.1599999964237213,16,16,16,8,20,70
1,US,2025,APLMW,250,250,1.0,0.0260000005364418,0.0260000005364418,0.0260000005364418,0.0260000005364418,250,250,250,0,0,0
2,US,2025,RYDE,250,250,1.0,0.1759999990463256,0.3379999995231628,0.3539359998106956,0.6000000238418579,0,0,0,13,21,117
3,US,2025,XPL,250,250,1.0,0.550000011920929,0.6600000262260437,0.6678799996376038,0.8399999737739563,0,0,0,0,3,22
4,US,2025,OPENL,6,6,1.0,0.4950000047683716,0.5429999828338623,0.559333324432373,0.6579999923706055,0,0,0,0,1,4
5,US,2025,RNWWW,250,250,1.0,0.0049999998882412,0.1169999986886978,0.103664000481367,0.2479999959468841,113,58,55,93,90,141
6,US,2025,IINNW,250,250,1.0,0.1800000071525573,0.2800000011920929,0.3065079996585846,0.6499999761581421,0,0,0,52,79,107
7,US,2025,DNMXW,6,6,1.0,0.3499999940395355,0.3590000122785568,0.3610000063975652,0.3700000047683716,0,0,0,1,0,1
8,US,2025,IGACR,7,7,1.0,0.1899999976158142,0.1899999976158142,0.1942857142005647,0.2000000029802322,0,0,0,0,0,1
9,US,2025,RNGTW,6,6,1.0,0.3160000145435333,0.3199999928474426,0.3223333358764648,0.3300000131130218,0,0,0,0,0,2
10,US,2025,CCGWW,250,250,1.0,0.0199999995529651,0.0294999992474913,0.0308640001043676,0.0540000014007091,250,248,187,72,76,91
