rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
3,10,abs_gap_ge,HK,8249.HK,2025,246,2025-01-02,2025-12-31,0.0740000009536743,0.1420000046491623,0.1453861791670807,0.270000010728836,246,1.0,0,25,13,38,28,53,0,4,4,8,7,24,0,1,1,2,1,10,0,1,0,1,0,6,0,0,0,0,0,0
4,10,abs_gap_ge,HK,9689.HK,2025,246,2025-01-02,2025-12-31,0.2150000035762787,0.3400000035762787,0.334739838492095,0.5199999809265137,246,1.0,0,13,24,37,28,70,0,3,2,5,9,22,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0
5,10,abs_gap_ge,HK,0379.HK,2025,246,2025-01-02,2025-12-31,0.0289999991655349,0.0750000029802322,0.0784390244360376,0.1700000017881393,246,1.0,0,17,19,36,46,95,0,3,0,3,16,44,0,0,0,0,8,19,0,0,0,0,1,5,0,0,0,0,0,0
6,10,abs_gap_ge,HK,2363.HK,2025,246,2025-01-02,2025-12-31,0.209999993443489,0.3449999988079071,0.3454186990251386,0.4399999976158142,246,1.0,0,15,21,36,34,19,0,5,7,12,7,10,0,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
7,10,abs_gap_ge,HK,0859.HK,2025,246,2025-01-02,2025-12-31,0.0869999974966049,0.1099999994039535,0.1105650406845701,0.1430000066757202,246,1.0,0,19,16,35,31,21,0,2,3,5,3,6,0,0,1,1,0,3,0,0,1,1,0,1,0,0,0,0,0,1
8,10,abs_gap_ge,HK,0185.HK,2025,246,2025-01-02,2025-12-31,0.0640000030398368,0.1154999993741511,0.1130203251552775,0.1850000023841858,246,1.0,0,15,20,35,45,54,0,4,2,6,6,25,0,0,1,1,1,14,0,0,0,0,0,5,0,0,0,0,0,0
9,10,abs_gap_ge,HK,1005.HK,2025,246,2025-01-02,2025-12-31,0.395000010728836,0.498913049697876,0.5225676959607659,0.7434782385826111,246,1.0,0,19,16,35,30,9,0,4,4,8,7,5,0,2,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
10,10,abs_gap_ge,HK,8418.HK,2025,246,2025-01-02,2025-12-31,0.3050000071525574,0.4550000131130218,0.4559756092182019,0.6600000262260437,246,1.0,0,4,30,34,26,133,0,0,1,1,3,39,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0
1,10,abs_gap_ge,JP,8918.T,2025,243,2025-01-06,2025-12-30,6.0,9.0,8.412639578674066,11.0,243,1.0,242,72,34,106,77,243,0,0,0,0,1,8,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0
2,10,abs_gap_ge,JP,5721.T,2025,243,2025-01-06,2025-12-30,19.0,122.0,129.35390946502056,422.0,93,0.382716049382716,0,17,5,22,57,110,0,8,0,8,21,35,0,2,0,2,8,18,0,0,0,0,1,1,0,0,0,0,1,0
