rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_ret_ge_10_days,abs_ret_ge_20_days,abs_ret_ge_30_days,abs_gap_ge_10_days,range_ge_10_days
6,20,CA,2025,BARK.V,251,1.0,0.0450000017881393,73,72,51,76,49
7,20,CA,2025,MTX.V,251,1.0,0.0199999995529651,63,63,63,62,51
8,20,CA,2025,VRTS.TO,251,1.0,0.0199999995529651,71,63,19,79,84
9,20,CA,2025,MEK.V,251,1.0,0.0299999993294477,62,62,51,58,51
10,20,CA,2025,PER.V,251,1.0,0.0299999993294477,62,59,52,58,64
1,20,CN,2025,688585.SS,243,0.0,7.996177673339844,31,9,0,14,38
2,20,CN,2025,300344.SZ,243,0.5020576131687243,4.96999979019165,33,6,0,9,62
3,20,CN,2025,300963.SZ,243,0.0,19.170000076293945,15,6,0,1,53
4,20,CN,2025,300237.SZ,243,1.0,2.140000104904175,13,5,0,6,33
5,20,CN,2025,300810.SZ,243,0.0,38.7599983215332,12,5,0,3,33
6,20,CN,2025,301208.SZ,243,0.0,40.630001068115234,7,5,0,0,15
7,20,CN,2025,301000.SZ,243,0.0,43.36000061035156,14,5,0,1,29
8,20,CN,2025,688048.SS,243,0.0,62.36000061035156,16,5,0,2,37
9,20,CN,2025,300368.SZ,243,0.2757201646090535,11.010000228881836,16,4,0,0,38
10,20,CN,2025,688189.SS,243,0.0,7.989999771118164,11,4,0,1,24
1,20,FR,2025,ALIBR.PA,255,1.0,0.0003000000142492,93,92,58,101,222
2,20,FR,2025,ALALO.PA,255,0.7137254901960784,0.6000000238418579,107,63,28,67,233
3,20,FR,2025,MLWEY.PA,255,1.0,0.0149999996647238,65,51,30,57,22
4,20,FR,2025,MLCOT.PA,255,1.0,0.125,77,46,33,73,20
5,20,FR,2025,ALBOO.PA,255,0.0,12.0,104,43,27,95,224
6,20,FR,2025,MLSML.PA,255,1.0,0.0189999993890523,58,35,19,62,34
7,20,FR,2025,ALVER.PA,255,0.196078431372549,3.8000009059906006,66,32,13,62,187
8,20,FR,2025,MLSEQ.PA,255,1.0,0.0070000002160668,81,31,12,80,25
9,20,FR,2025,MLGEQ.PA,255,1.0,0.0160000007599592,36,29,24,38,9
10,20,FR,2025,ALMEX.PA,255,0.0,6.5,52,24,14,18,91
1,20,HK,2025,0352.HK,246,0.983739837398374,0.1000000014901161,25,19,10,8,38
2,20,HK,2025,0515.HK,246,0.967479674796748,0.3100000023841858,35,18,8,10,64
3,20,HK,2025,3626.HK,246,0.2276422764227642,7.949999809265137,40,18,12,11,84
4,20,HK,2025,8286.HK,246,1.0,0.1080000028014183,47,17,6,42,31
5,20,HK,2025,8340.HK,246,0.9065040650406504,0.4300000071525574,38,17,4,23,55
6,20,HK,2025,0379.HK,246,1.0,0.0750000029802322,46,16,8,36,95
7,20,HK,2025,8535.HK,246,1.0,0.0970000028610229,43,16,4,18,70
8,20,HK,2025,6928.HK,246,1.0,0.210999995470047,37,16,7,19,80
9,20,HK,2025,8460.HK,246,0.9715447154471544,0.0610000006854534,40,15,9,15,57
10,20,HK,2025,8611.HK,246,0.8130081300813008,0.75,39,15,4,7,79
1,20,JP,2025,5721.T,243,0.382716049382716,122.0,57,21,8,22,110
2,20,JP,2025,6993.T,243,0.9670781893004116,34.0,26,16,8,12,88
3,20,JP,2025,9610.T,243,0.3209876543209876,125.0,27,16,9,7,80
4,20,JP,2025,4889.T,243,0.0,1765.0,37,14,0,15,78
5,20,JP,2025,3905.T,243,0.0,1816.0,41,14,0,16,87
6,20,JP,2025,2134.T,243,0.9876543209876544,31.0,35,13,4,9,94
7,20,JP,2025,2673.T,243,0.1646090534979424,137.0,25,13,7,3,51
8,20,JP,2025,7138.T,243,0.0,154.0,31,13,3,14,52
9,20,JP,2025,8105.T,243,0.5925925925925926,54.0,46,12,6,19,78
10,20,JP,2025,6177.T,243,0.3744855967078189,107.0,30,11,6,10,56
1,20,KR,2025,042940.KQ,239,0.0,10680.0,33,20,0,17,69
