rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
7,10,one_tick_ge,FR,LAT.PA,2025,255,2025-01-02,2025-12-31,0.0085000004619359,0.0133999995887279,0.0131521568724921,0.0196000002324581,255,1.0,255,2,0,2,11,35,255,0,0,0,2,11,255,0,0,0,2,4,255,0,0,0,1,1,37,0,0,0,0,0
8,10,one_tick_ge,FR,ALMAS.PA,2025,255,2025-01-02,2025-12-31,0.0077999997884035,0.0137999998405575,0.0152517647098968,0.0428000018000602,255,1.0,255,15,8,23,41,134,255,2,2,4,11,55,245,1,0,1,7,30,213,1,0,1,3,10,52,0,0,0,1,3
9,10,one_tick_ge,FR,MLWEY.PA,2025,255,2025-01-02,2025-12-31,0.0049999998882412,0.0149999996647238,0.0156882353053957,0.0320000015199184,255,1.0,255,34,23,57,65,22,255,29,16,45,51,18,255,19,4,23,30,12,219,8,2,10,7,6,47,2,0,2,2,0
10,10,one_tick_ge,FR,MLGEQ.PA,2025,255,2025-01-02,2025-12-31,0.0109999999403953,0.0160000007599592,0.016368627464216,0.0344999991357326,255,1.0,255,20,18,38,36,9,255,18,14,32,29,6,250,18,8,26,24,5,215,5,2,7,6,2,0,2,0,2,1,1
1,10,one_tick_ge,HK,0444.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0100081298591159,0.0109999999403953,246,1.0,244,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,10,one_tick_ge,HK,8123.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0100569103549165,0.0109999999403953,246,1.0,232,1,0,1,6,23,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,10,one_tick_ge,HK,8130.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0100691054788667,0.0109999999403953,246,1.0,229,4,0,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10,one_tick_ge,HK,0059.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0101829266357348,0.0130000002682209,246,1.0,224,2,0,2,4,13,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0
5,10,one_tick_ge,HK,0845.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0101097558920339,0.0109999999403953,246,1.0,219,8,0,8,12,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,one_tick_ge,HK,2326.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.010252032338119,0.0140000004321336,246,1.0,194,19,0,19,16,64,0,0,0,0,2,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
7,10,one_tick_ge,HK,0269.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0113008129183293,0.0240000002086162,246,1.0,128,8,1,9,20,108,0,1,0,1,5,29,0,1,0,1,2,3,0,1,0,1,1,2,0,1,0,1,0,0
8,10,one_tick_ge,HK,1217.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0109999999403953,0.0121016260198642,0.0170000009238719,246,1.0,98,4,2,6,20,106,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,one_tick_ge,HK,2358.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0109999999403953,0.0115243902361792,0.0189999993890523,246,1.0,94,13,1,14,22,107,0,2,0,2,6,26,0,0,0,0,1,12,0,0,0,0,0,2,0,0,0,0,0,0
10,10,one_tick_ge,HK,8417.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0120000001043081,0.013739837189697,0.0219999998807907,246,1.0,73,17,2,19,22,44,0,4,0,4,4,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,one_tick_ge,JP,8918.T,2025,243,2025-01-06,2025-12-30,6.0,9.0,8.412639578674066,11.0,243,1.0,242,72,34,106,77,243,0,0,0,0,1,8,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0
1,10,one_tick_ge,TH,NATION.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0299999993294477,0.0314462802965532,0.050000000745058,242,1.0,242,47,36,83,85,231,241,47,36,83,85,231,165,44,22,66,61,222,43,16,1,17,20,107,0,0,0,0,0,8
2,10,one_tick_ge,TH,TWZ.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0299999993294477,0.0290909084406765,0.0399999991059303,242,1.0,242,21,20,41,53,240,242,21,20,41,53,240,227,21,9,30,40,240,37,9,0,9,13,76,0,0,0,0,0,8
3,10,one_tick_ge,TH,WAVE.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0299999993294477,0.0414876027940964,0.0799999982118606,242,1.0,242,25,35,60,77,221,176,14,29,43,66,193,123,14,11,25,41,177,35,6,0,6,11,76,0,0,0,0,0,13
4,10,one_tick_ge,TH,BLISS.BK,2025,242,2025-01-02,2025-12-30,0.0309100002050399,0.0309100002050399,0.0309100002050399,0.0309100002050399,242,1.0,242,0,0,0,0,0,242,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,one_tick_ge,TH,SDC.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.034999999217689,0.0356198340377285,0.050000000745058,242,1.0,242,27,45,72,86,242,226,27,45,72,86,242,121,24,0,24,34,213,1,0,0,0,1,32,0,0,0,0,0,14
6,10,one_tick_ge,TH,B.BK,2025,242,2025-01-02,2025-12-30,0.0399999991059303,0.0399999991059303,0.0481818177668023,0.0799999982118606,242,1.0,242,27,35,62,79,241,124,21,32,53,63,197,0,0,0,0,0,53,0,0,0,0,0,23,0,0,0,0,0,0
7,10,one_tick_ge,TH,CIG.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0362809911555002,0.0599999986588954,242,1.0,242,29,49,78,80,230,207,29,47,76,72,225,117,21,14,35,37,187,13,7,0,7,10,97,0,0,0,0,0,6
8,10,one_tick_ge,TH,GEL.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0428512391888282,0.0900000035762786,242,1.0,242,24,55,79,80,229,158,18,41,59,67,191,54,11,3,14,13,120,5,2,0,2,2,42,0,0,0,0,0,9
9,10,one_tick_ge,TH,GRAND.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0406611567086054,0.0599999986588954,242,1.0,242,27,52,79,88,221,157,25,49,74,80,210,75,14,3,17,20,116,2,2,0,2,2,23,0,0,0,0,0,3
10,10,one_tick_ge,TH,KC.BK,2025,242,2025-01-02,2025-12-30,0.0199999995529651,0.0399999991059303,0.0423553712850759,0.0700000002980232,242,1.0,242,34,56,90,92,202,157,30,33,63,63,147,83,28,5,33,34,123,13,10,0,10,7,41,0,0,0,0,1,7
