rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
6,10,range_ge,FR,ALCAB.PA,2025,255,2025-01-02,2025-12-31,0.0040000001899898,0.0979999974370002,0.2938411771776337,2.0,238,0.9333333333333332,129,17,1,18,70,182,116,3,1,4,20,95,94,0,1,1,9,52,70,0,0,0,3,15,43,0,0,0,1,4
7,10,range_ge,FR,ALSRS.PA,2025,255,2025-01-02,2025-12-31,0.0003000000142492,0.002600000007078,0.0068784313700983,0.5699999928474426,255,1.0,254,13,22,35,58,171,254,6,6,12,14,61,254,5,1,6,11,31,254,1,1,2,3,11,214,1,0,1,1,1
8,10,range_ge,FR,ALHPI.PA,2025,255,2025-01-02,2025-12-31,0.0057000000961124,0.0240000002086162,0.0780364705267928,0.3919999897480011,255,1.0,184,18,5,23,42,164,162,6,2,8,19,108,145,4,2,6,12,69,121,2,1,3,6,39,87,2,0,2,2,30
9,10,range_ge,FR,ALCBI.PA,2025,255,2025-01-02,2025-12-31,0.0850000008940696,0.2090000063180923,0.3537356872768963,2.130000114440918,239,0.9372549019607844,12,7,1,8,64,162,0,1,0,1,21,68,0,1,0,1,11,31,0,0,0,0,5,8,0,0,0,0,0,1
10,10,range_ge,FR,ALEUP.PA,2025,255,2025-01-02,2025-12-31,0.2240000069141388,13.25,19.966837646914463,90.0,50,0.196078431372549,0,20,3,23,64,161,0,6,0,6,11,56,0,2,0,2,5,27,0,1,0,1,3,9,0,0,0,0,1,2
1,10,range_ge,HK,1228.HK,2025,246,2025-01-02,2025-12-31,0.1040000021457672,0.4150000065565109,1.0605040652359403,2.930000066757202,146,0.5934959349593496,0,16,2,18,45,149,0,0,0,0,14,65,0,0,0,0,3,25,0,0,0,0,1,7,0,0,0,0,0,0
2,10,range_ge,HK,8418.HK,2025,246,2025-01-02,2025-12-31,0.3050000071525574,0.4550000131130218,0.4559756092182019,0.6600000262260437,246,1.0,0,4,30,34,26,133,0,0,1,1,3,39,0,0,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0
3,10,range_ge,HK,8081.HK,2025,246,2025-01-02,2025-12-31,0.0140000004321336,0.0410000011324882,0.033654471548895,0.0549999997019767,246,1.0,0,6,2,8,25,125,0,0,0,0,3,31,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
4,10,range_ge,HK,0139.HK,2025,246,2025-01-02,2025-12-31,0.1364423632621765,0.3559366464614868,0.3943637911745203,1.0282613039016724,244,0.991869918699187,0,1,0,1,28,120,0,0,0,0,5,28,0,0,0,0,2,8,0,0,0,0,1,1,0,0,0,0,0,0
5,10,range_ge,HK,6628.HK,2025,246,2025-01-02,2025-12-31,0.5299999713897705,1.820000052452088,2.234634145488584,5.699999809265137,34,0.1382113821138211,0,3,3,6,33,118,0,0,0,0,8,22,0,0,0,0,5,9,0,0,0,0,0,2,0,0,0,0,0,0
6,10,range_ge,HK,2738.HK,2025,246,2025-01-02,2025-12-31,0.1800000071525573,0.3050000071525574,0.3599837404804501,0.7599999904632568,246,1.0,0,12,1,13,17,117,0,0,0,0,3,30,0,0,0,0,3,11,0,0,0,0,0,3,0,0,0,0,0,0
7,10,range_ge,HK,0875.HK,2025,246,2025-01-02,2025-12-31,0.2160000056028366,0.5949999988079071,0.8132357726979061,2.0999999046325684,169,0.6869918699186992,0,12,2,14,28,112,0,1,0,1,11,35,0,1,0,1,4,15,0,0,0,0,0,1,0,0,0,0,0,0
8,10,range_ge,HK,0876.HK,2025,246,2025-01-02,2025-12-31,0.0130000002682209,0.0260000005364418,0.0363821139506147,0.096000000834465,246,1.0,0,4,6,10,33,111,0,0,0,0,10,33,0,0,0,0,3,16,0,0,0,0,2,5,0,0,0,0,0,1
9,10,range_ge,HK,0269.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0099999997764825,0.0113008129183293,0.0240000002086162,246,1.0,128,8,1,9,20,108,0,1,0,1,5,29,0,1,0,1,2,3,0,1,0,1,1,2,0,1,0,1,0,0
10,10,range_ge,HK,2358.HK,2025,246,2025-01-02,2025-12-31,0.0099999997764825,0.0109999999403953,0.0115243902361792,0.0189999993890523,246,1.0,94,13,1,14,22,107,0,2,0,2,6,26,0,0,0,0,1,12,0,0,0,0,0,2,0,0,0,0,0,0
1,10,range_ge,JP,8918.T,2025,243,2025-01-06,2025-12-30,6.0,9.0,8.412639578674066,11.0,243,1.0,242,72,34,106,77,243,0,0,0,0,1,8,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0
2,10,range_ge,JP,5721.T,2025,243,2025-01-06,2025-12-30,19.0,122.0,129.35390946502056,422.0,93,0.382716049382716,0,17,5,22,57,110,0,8,0,8,21,35,0,2,0,2,8,18,0,0,0,0,1,1,0,0,0,0,1,0
3,10,range_ge,JP,2334.T,2025,243,2025-01-06,2025-12-30,46.09999847412109,236.0,270.15514384768136,968.0,88,0.3621399176954732,0,8,4,12,47,110,0,1,0,1,6,27,0,0,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0
4,10,range_ge,JP,2134.T,2025,243,2025-01-06,2025-12-30,16.0,31.0,38.8641975308642,104.0,240,0.9876543209876544,0,6,3,9,35,94,0,3,1,4,13,26,0,2,1,3,4,9,0,0,0,0,0,1,0,0,0,0,0,0
