rank,threshold_pct,market,year,symbol,n_days,penny_day_ratio,median_close,abs_gap_ge_10_days,abs_gap_ge_20_days,abs_gap_ge_30_days,abs_ret_ge_10_days,range_ge_10_days
7,20,AU,2025,SRN.AX,253,1.0,0.0020000000949949,78,52,39,70,95
8,20,AU,2025,BP8.AX,199,1.0,0.0020000000949949,55,51,42,58,53
9,20,AU,2025,PIL.AX,253,1.0,0.003000000026077,101,50,16,103,131
10,20,AU,2025,EDE.AX,253,1.0,0.0399999991059303,51,50,45,68,106
1,20,CA,2025,MTLO.V,251,1.0,0.0099999997764825,107,106,104,82,110
2,20,CA,2025,ACU.V,251,1.0,0.0149999996647238,101,97,69,90,107
3,20,CA,2025,CSTR.V,251,1.0,0.0149999996647238,100,96,63,90,185
4,20,CA,2025,AAZ.V,251,1.0,0.1199999973177909,88,77,23,96,193
5,20,CA,2025,BARK.V,251,1.0,0.0450000017881393,76,74,53,73,49
6,20,CA,2025,PUL.V,251,1.0,0.0149999996647238,73,72,60,72,60
7,20,CA,2025,VRTS.TO,251,1.0,0.0199999995529651,79,71,29,71,84
8,20,CA,2025,ILC.V,251,1.0,0.0149999996647238,85,70,51,74,95
9,20,CA,2025,MTX.V,251,1.0,0.0199999995529651,62,62,62,63,51
10,20,CA,2025,VLI.V,251,1.0,0.0199999995529651,62,62,62,54,68
1,20,CN,2025,688585.SS,243,0.0,7.996177673339844,14,6,0,31,38
2,20,CN,2025,300477.SZ,243,1.0,2.2799999713897705,2,2,0,9,28
3,20,CN,2025,300391.SZ,243,0.8518518518518519,4.349999904632568,6,2,0,14,39
4,20,CN,2025,688425.SS,243,0.5720164609053497,4.208378791809082,3,2,0,5,3
5,20,CN,2025,300344.SZ,243,0.5020576131687243,4.96999979019165,9,2,0,33,62
6,20,CN,2025,300343.SZ,243,0.3868312757201646,5.159999847412109,2,2,0,3,4
7,20,CN,2025,300460.SZ,243,0.0,10.68000030517578,3,2,0,5,11
8,20,CN,2025,300276.SZ,243,0.0,10.899999618530272,3,2,2,10,18
9,20,CN,2025,300948.SZ,243,0.0,10.93000030517578,4,2,0,9,18
10,20,CN,2025,688108.SS,243,0.0,11.289999961853027,4,2,0,10,24
1,20,FR,2025,ALIBR.PA,255,1.0,0.0003000000142492,101,99,68,93,222
2,20,FR,2025,ALALO.PA,255,0.7137254901960784,0.6000000238418579,67,48,37,107,233
3,20,FR,2025,MLCOT.PA,255,1.0,0.125,73,47,32,77,20
4,20,FR,2025,ALBOO.PA,255,0.0,12.0,95,46,39,104,224
5,20,FR,2025,MLWEY.PA,255,1.0,0.0149999996647238,57,45,23,65,22
6,20,FR,2025,MLSML.PA,255,1.0,0.0189999993890523,62,40,20,58,34
7,20,FR,2025,MLSEQ.PA,255,1.0,0.0070000002160668,80,34,14,81,25
8,20,FR,2025,MLGEQ.PA,255,1.0,0.0160000007599592,38,32,26,36,9
9,20,FR,2025,MLFTI.PA,255,1.0,0.0299999993294477,76,23,11,73,31
10,20,FR,2025,MLNMA.PA,255,1.0,0.1049999967217445,42,22,14,42,3
1,20,HK,2025,8280.HK,246,1.0,0.061999998986721,39,12,4,50,69
2,20,HK,2025,2363.HK,246,1.0,0.3449999988079071,36,12,1,34,19
3,20,HK,2025,8356.HK,246,1.0,0.5400000214576721,33,12,0,43,48
4,20,HK,2025,8247.HK,246,0.8495934959349594,0.7649999856948853,31,12,6,35,35
5,20,HK,2025,8023.HK,246,1.0,0.3046551942825317,19,9,1,10,22
6,20,HK,2025,1370.HK,246,0.951219512195122,0.3375000059604645,34,9,4,29,34
7,20,HK,2025,8340.HK,246,0.9065040650406504,0.4300000071525574,23,9,2,38,55
8,20,HK,2025,8249.HK,246,1.0,0.1420000046491623,38,8,2,28,53
9,20,HK,2025,1005.HK,246,1.0,0.498913049697876,35,8,2,30,9
10,20,HK,2025,1232.HK,246,1.0,0.6150000095367432,26,8,1,27,28
1,20,JP,2025,8105.T,243,0.5925925925925926,54.0,19,9,4,46,78
2,20,JP,2025,6574.T,243,0.5761316872427984,81.19999694824219,17,9,1,37,72
3,20,JP,2025,5721.T,243,0.382716049382716,122.0,22,8,2,57,110
4,20,JP,2025,7138.T,243,0.0,154.0,14,6,3,31,52
5,20,JP,2025,6993.T,243,0.9670781893004116,34.0,12,5,3,26,88
6,20,JP,2025,4833.T,243,0.6748971193415638,91.0,6,5,3,28,65
7,20,JP,2025,9399.T,243,0.3004115226337449,114.5,10,5,1,37,91
8,20,JP,2025,8798.T,243,0.0,297.0,7,5,2,16,26
9,20,JP,2025,8995.T,243,0.0,642.5426635742188,10,5,0,25,44
10,20,JP,2025,2134.T,243,0.9876543209876544,31.0,9,4,3,35,94
1,20,KR,2025,042940.KQ,239,0.0,10680.0,17,10,0,33,69
2,20,KR,2025,288330.KQ,240,0.2416666666666666,2185.0,11,8,1,31,84
3,20,KR,2025,008500.KS,241,0.0,2264.578369140625,12,8,1,19,29
4,20,KR,2025,200230.KQ,242,0.1239669421487603,1318.3333129882812,11,7,0,18,40
5,20,KR,2025,000650.KS,241,0.0,40050.0,8,7,1,14,26
6,20,KR,2025,308100.KQ,240,0.0,1994.6666870117188,11,6,0,25,74
7,20,KR,2025,049180.KQ,242,0.6115702479338843,926.0,7,5,0,14,43
8,20,KR,2025,049470.KQ,241,0.5684647302904564,455.0,5,5,1,19,59
9,20,KR,2025,012200.KS,241,0.0,1459.0,5,5,1,7,6
10,20,KR,2025,060240.KQ,241,0.0,1976.0,6,5,0,15,26
1,20,TH,2025,NATION.BK,242,1.0,0.0299999993294477,83,83,66,85,231
2,20,TH,2025,STOWER.BK,242,1.0,0.0399999991059303,102,77,11,97,237
3,20,TH,2025,CIG.BK,242,1.0,0.0399999991059303,78,76,35,80,230
4,20,TH,2025,GRAND.BK,242,1.0,0.0399999991059303,79,74,17,88,221
5,20,TH,2025,MORE.BK,242,1.0,0.0399999991059303,77,74,45,88,239
6,20,TH,2025,SDC.BK,242,1.0,0.034999999217689,72,72,24,86,242
7,20,TH,2025,KC.BK,242,1.0,0.0399999991059303,90,63,33,92,202
8,20,TH,2025,GEL.BK,242,1.0,0.0399999991059303,79,59,14,80,229
9,20,TH,2025,AKS.BK,242,1.0,0.0399999991059303,54,53,33,59,149
10,20,TH,2025,B.BK,242,1.0,0.0399999991059303,62,53,0,79,241
1,20,TW,2025,3114.TWO,242,0.9958677685950412,24.117634773254395,2,2,2,2,2
2,20,TW,2025,7780.TW,243,0.9794238683127572,15.407329559326172,3,2,1,11,13
3,20,TW,2025,1752.TW,242,0.0041322314049586,37.52499961853027,2,2,2,2,0
4,20,TW,2025,6793.TWO,242,1.0,7.28000020980835,1,1,1,14,49
5,20,TW,2025,4950.TWO,242,1.0,12.350000381469728,1,1,1,1,17
6,20,TW,2025,6236.TWO,242,0.962809917355372,28.399999618530277,2,1,0,3,6
7,20,TW,2025,6819.TWO,242,0.9338842975206612,23.89999961853028,2,1,0,11,24
8,20,TW,2025,7777.TWO,243,0.897119341563786,15.850000381469728,1,1,0,15,32
9,20,TW,2025,2924.TWO,242,0.7396694214876033,28.799999237060547,4,1,0,3,5
10,20,TW,2025,6936.TW,178,0.0,36.00767135620117,2,1,0,1,2
1,20,UK,2025,ETL.L,253,0.0,4.264999866485596,80,73,67,2,18
2,20,UK,2025,SYME.L,252,1.0,0.003000000026077,51,46,18,33,125
3,20,UK,2025,PYX.L,253,0.5691699604743083,0.699999988079071,140,31,8,62,139
4,20,UK,2025,CDFF.L,253,0.0,2599.732421875,27,27,27,27,0
