rank,threshold_pct,metric,market,symbol,year,n_days,first_date,last_date,min_close,median_close,mean_close,max_close,penny_days,penny_day_ratio,one_tick_ge_10_days,gap_up_ge_10_days,gap_down_le_10_days,abs_gap_ge_10_days,abs_ret_ge_10_days,range_ge_10_days,one_tick_ge_20_days,gap_up_ge_20_days,gap_down_le_20_days,abs_gap_ge_20_days,abs_ret_ge_20_days,range_ge_20_days,one_tick_ge_30_days,gap_up_ge_30_days,gap_down_le_30_days,abs_gap_ge_30_days,abs_ret_ge_30_days,range_ge_30_days,one_tick_ge_50_days,gap_up_ge_50_days,gap_down_le_50_days,abs_gap_ge_50_days,abs_ret_ge_50_days,range_ge_50_days,one_tick_ge_100_days,gap_up_ge_100_days,gap_down_le_100_days,abs_gap_ge_100_days,abs_ret_ge_100_days,range_ge_100_days
8,10,abs_ret_ge,CN,300300.SZ,2025,243,2025-01-02,2025-12-31,2.450000047683716,4.800000190734863,6.159547309326046,18.46999931335449,143,0.588477366255144,0,1,1,2,21,48,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,abs_ret_ge,CN,600693.SS,2025,243,2025-01-02,2025-12-31,5.347670555114746,6.3145928382873535,7.356740663081039,21.8799991607666,0,0.0,0,1,1,2,21,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,abs_ret_ge,CN,002471.SZ,2025,243,2025-01-02,2025-12-31,2.470000028610229,4.570000171661377,4.196995887246152,8.020000457763672,191,0.7860082304526749,0,4,0,4,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,abs_ret_ge,FR,ALALO.PA,2025,255,2025-01-02,2025-12-31,0.0627999976277351,0.6000000238418579,9.63523843858172,300.0,182,0.7137254901960784,10,45,22,67,107,233,0,38,10,48,63,182,0,33,4,37,28,137,0,14,4,18,12,75,0,10,0,10,6,29
2,10,abs_ret_ge,FR,ALBOO.PA,2025,255,2025-01-02,2025-12-31,2.0,12.0,94.92941176470588,1400.0,0,0.0,0,36,59,95,104,224,0,16,30,46,43,168,0,13,26,39,27,138,0,8,21,29,17,94,0,2,0,2,6,54
3,10,abs_ret_ge,FR,ALNEV.PA,2025,255,2025-01-02,2025-12-31,0.0020000000949949,2.200000047683716,83.52042727139778,1200.199951171875,108,0.4235294117647059,52,24,12,36,94,227,45,4,2,6,23,123,37,3,1,4,9,60,27,3,0,3,5,13,11,1,0,1,3,5
4,10,abs_ret_ge,FR,ALIBR.PA,2025,255,2025-01-02,2025-12-31,9.999999747378752e-05,0.0003000000142492,0.0003176470626117,0.0006000000284984,255,1.0,255,59,42,101,93,222,255,57,42,99,92,217,255,48,20,68,58,181,255,29,0,29,25,118,255,0,0,0,1,14
5,10,abs_ret_ge,FR,MLSEQ.PA,2025,255,2025-01-02,2025-12-31,0.003000000026077,0.0070000002160668,0.0070274509270401,0.0104999998584389,255,1.0,255,35,45,80,81,25,255,15,19,34,31,12,255,7,7,14,12,6,255,0,1,1,0,2,239,0,0,0,0,1
6,10,abs_ret_ge,FR,MLCOT.PA,2025,255,2025-01-02,2025-12-31,0.0049999998882412,0.125,0.1149803920046371,0.4020000100135803,255,1.0,112,44,29,73,77,20,89,30,17,47,46,11,56,22,10,32,33,8,23,9,2,11,12,3,5,1,0,1,1,0
7,10,abs_ret_ge,FR,MLFTI.PA,2025,255,2025-01-02,2025-12-31,0.0160000007599592,0.0299999993294477,0.0319352943011942,0.0555000007152557,255,1.0,255,37,39,76,73,31,247,15,8,23,23,17,149,8,3,11,8,5,1,2,0,2,1,0,0,0,0,0,0,0
8,10,abs_ret_ge,FR,ALCAB.PA,2025,255,2025-01-02,2025-12-31,0.0040000001899898,0.0979999974370002,0.2938411771776337,2.0,238,0.9333333333333332,129,17,1,18,70,182,116,3,1,4,20,95,94,0,1,1,9,52,70,0,0,0,3,15,43,0,0,0,1,4
9,10,abs_ret_ge,FR,ALVER.PA,2025,255,2025-01-02,2025-12-31,0.7599999904632568,3.8000009059906006,4.115922518337475,15.20000457763672,50,0.196078431372549,0,26,36,62,66,187,0,8,9,17,32,136,0,5,4,9,13,91,0,4,2,6,5,48,0,0,0,0,1,16
10,10,abs_ret_ge,FR,MLWEY.PA,2025,255,2025-01-02,2025-12-31,0.0049999998882412,0.0149999996647238,0.0156882353053957,0.0320000015199184,255,1.0,255,34,23,57,65,22,255,29,16,45,51,18,255,19,4,23,30,12,219,8,2,10,7,6,47,2,0,2,2,0
1,10,abs_ret_ge,HK,1561.HK,2025,246,2025-01-02,2025-12-31,0.0419999994337558,0.0810000002384185,0.0853048782886528,0.1589999943971634,246,1.0,0,18,9,27,51,80,0,4,1,5,8,27,0,0,0,0,4,11,0,0,0,0,2,4,0,0,0,0,0,1
2,10,abs_ret_ge,HK,8280.HK,2025,246,2025-01-02,2025-12-31,0.0320000015199184,0.061999998986721,0.0667195124778805,0.1180000007152557,246,1.0,0,27,12,39,50,69,0,11,1,12,10,26,0,4,0,4,2,16,0,0,0,0,0,4,0,0,0,0,0,0
3,10,abs_ret_ge,HK,8286.HK,2025,246,2025-01-02,2025-12-31,0.0460000000894069,0.1080000028014183,0.1088455278668703,0.1689999997615814,246,1.0,0,20,22,42,47,31,0,4,3,7,17,20,0,3,1,4,6,9,0,0,0,0,1,5,0,0,0,0,0,2
4,10,abs_ret_ge,HK,0379.HK,2025,246,2025-01-02,2025-12-31,0.0289999991655349,0.0750000029802322,0.0784390244360376,0.1700000017881393,246,1.0,0,17,19,36,46,95,0,3,0,3,16,44,0,0,0,0,8,19,0,0,0,0,1,5,0,0,0,0,0,0
5,10,abs_ret_ge,HK,3302.HK,2025,246,2025-01-02,2025-12-31,0.0829999968409538,0.1309999972581863,0.1895406501806848,0.5,246,1.0,0,11,6,17,46,86,0,1,0,1,11,30,0,0,0,0,4,15,0,0,0,0,1,4,0,0,0,0,1,1
6,10,abs_ret_ge,HK,0185.HK,2025,246,2025-01-02,2025-12-31,0.0640000030398368,0.1154999993741511,0.1130203251552775,0.1850000023841858,246,1.0,0,15,20,35,45,54,0,4,2,6,6,25,0,0,1,1,1,14,0,0,0,0,0,5,0,0,0,0,0,0
7,10,abs_ret_ge,HK,1228.HK,2025,246,2025-01-02,2025-12-31,0.1040000021457672,0.4150000065565109,1.0605040652359403,2.930000066757202,146,0.5934959349593496,0,16,2,18,45,149,0,0,0,0,14,65,0,0,0,0,3,25,0,0,0,0,1,7,0,0,0,0,0,0
8,10,abs_ret_ge,HK,8535.HK,2025,246,2025-01-02,2025-12-31,0.0350000001490116,0.0970000028610229,0.0980243903652923,0.2010000050067901,246,1.0,0,4,14,18,43,70,0,1,3,4,16,33,0,0,0,0,4,15,0,0,0,0,1,5,0,0,0,0,0,0
9,10,abs_ret_ge,HK,8356.HK,2025,246,2025-01-02,2025-12-31,0.3100000023841858,0.5400000214576721,0.5597357692999568,0.949999988079071,246,1.0,0,13,20,33,43,48,0,2,10,12,13,19,0,0,0,0,3,10,0,0,0,0,2,6,0,0,0,0,0,0
10,10,abs_ret_ge,HK,8082.HK,2025,246,2025-01-02,2025-12-31,0.0260000005364418,0.0700000002980232,0.068000000098917,0.1620000004768371,246,1.0,0,12,1,13,42,81,0,0,0,0,8,34,0,0,0,0,4,14,0,0,0,0,1,1,0,0,0,0,0,0
