rank,market,symbol,n_days_total,start_date,end_date,min_close_all,median_close_all,mean_close_all,max_close_all,penny_days_total,penny_day_ratio_total,one_tick_pct_max,one_tick_pct_median
2,CA,ACU.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0549999997019767,0.0988718459059844,0.7400000095367432,1506,1.0,2.000000044703521,0.1818181828033828
3,CA,SML.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0149999996647238,0.0285159361203649,0.135000005364418,1506,1.0,2.000000044703521,0.6666666815678315
4,CA,CHS.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.1400000005960464,0.1687493740326191,0.7699999809265137,1506,1.0,2.000000044703521,0.0714285711244661
5,CA,FG.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0599999986588954,0.0659667994310042,0.25,1506,1.0,2.000000044703521,0.1666666703919573
6,CA,REC.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0399999991059303,0.0419920314917189,0.1949999928474426,1506,1.0,2.000000044703521,0.2500000055879357
7,CA,VTT.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0450000017881393,0.0388100929001709,0.0949999988079071,1506,1.0,2.000000044703521,0.222222213391905
8,CA,NNX.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.025000000372529,0.0263977422320826,0.0700000002980232,1506,1.0,2.000000044703521,0.3999999940395361
9,CA,WMK.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.0649999976158142,0.0881972110757274,0.3100000023841858,1506,1.0,2.000000044703521,0.1538461594891974
10,CA,JNH.V,1506,2020-01-02,2025-12-31,0.0049999998882412,0.1000000014901161,0.2241899065474223,2.5,1446,0.9601593625498008,2.000000044703521,0.0999999985098839
1,CN,601777.SS,1455,2020-01-02,2025-12-31,0.6571999788284302,4.489999771118164,4.925676969891971,13.15999984741211,829,0.5697594501718213,0.015216068658168,0.0022271716057369
